City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
210,210,Samarai,PG,-10.6167,150.6667,82.09,80,37,11.41,scattered clouds,09-18-2022 08:52:32
211,211,Vanimo,PG,-2.6741,141.3028,80.55,79,4,7.52,clear sky,09-18-2022 08:52:33
215,215,Sarangani,PH,5.4033,125.4636,84.85,69,94,6.49,overcast clouds,09-18-2022 08:52:34
217,217,Georgetown,MY,5.4112,100.3354,86.9,77,40,8.05,scattered clouds,09-18-2022 08:52:06
224,224,Honiara,SB,-9.4333,159.95,77.74,88,100,9.22,overcast clouds,09-18-2022 08:52:38
225,225,Pathein,MM,16.7833,94.7333,78.39,90,100,6.71,overcast clouds,09-18-2022 08:52:38
226,226,Salinopolis,BR,-0.6136,-47.3561,79.14,79,39,11.5,scattered clouds,09-18-2022 08:52:38
227,227,Padang,ID,-0.9492,100.3543,82.45,94,100,1.12,moderate rain,09-18-2022 08:52:39
231,231,Trincomalee,LK,8.5711,81.2335,89.26,58,100,4.47,overcast clouds,09-18-2022 08:52:40
233,233,Hasaki,JP,35.7333,140.8333,79.29,88,100,20.6,moderate rain,09-18-2022 08:52:41
236,236,Ternate,ID,0.8,127.4,82.63,72,100,3.36,overcast clouds,09-18-2022 08:52:42
238,238,Hobyo,SO,5.3505,48.5268,84.02,62,76,23.64,broken clouds,09-18-2022 08:52:43
243,243,Sambava,MG,-14.2667,50.1667,76.19,66,12,13.22,few clouds,09-18-2022 08:52:45
245,245,Ayorou,NE,14.7308,0.9174,83.19,64,94,16.42,moderate rain,09-18-2022 08:52:46
246,246,Karratha,AU,-20.7377,116.8463,80.56,33,1,15.9,clear sky,09-18-2022 08:52:46
248,248,Mlimba,TZ,-8.8,35.8167,86.31,38,85,6.67,overcast clouds,09-18-2022 08:52:47
251,251,Shimoda,JP,34.6667,138.95,82.76,92,100,9.15,overcast clouds,09-18-2022 08:52:48
253,253,Sakaiminato,JP,35.55,133.2333,82.33,89,75,19.57,light rain,09-18-2022 08:52:49
255,255,Ypsonas,CY,34.6884,32.9574,85.17,62,20,5.75,few clouds,09-18-2022 08:52:50
260,260,Kihei,US,20.785,-156.4656,80.62,79,0,10.36,clear sky,09-18-2022 08:49:43
262,262,Sri Aman,MY,1.2376,111.4621,91.45,66,40,1.14,scattered clouds,09-18-2022 08:52:52
263,263,Bilma,NE,18.6853,12.9164,93.92,30,97,3.15,overcast clouds,09-18-2022 08:52:53
267,267,Abu Zabad,SD,12.35,29.25,86.05,54,9,7.0,clear sky,09-18-2022 08:52:54
270,270,Birjand,IR,32.8663,59.2211,88.27,7,0,4.61,clear sky,09-18-2022 08:52:55
272,272,Funadhoo,MV,6.15,73.2667,81.75,74,77,8.23,broken clouds,09-18-2022 08:52:56
276,276,Manoharpur,IN,27.3,75.95,94.73,30,0,10.0,clear sky,09-18-2022 08:52:58
277,277,Ko Samui,TH,9.5357,99.9357,91.31,58,40,10.36,scattered clouds,09-18-2022 08:52:58
278,278,Salmas,IR,38.1973,44.7653,81.93,20,0,5.55,clear sky,09-18-2022 08:52:59
281,281,Kawalu,ID,-7.3817,108.2082,78.4,78,100,5.23,overcast clouds,09-18-2022 08:53:00
282,282,Pangkalanbuun,ID,-2.6833,111.6167,82.99,80,99,2.8,overcast clouds,09-18-2022 08:53:00
284,284,Tsogni,GA,-2.7942,10.0988,78.22,71,97,6.11,overcast clouds,09-18-2022 08:53:01
286,286,Barahona,DO,18.2085,-71.1008,78.42,73,55,5.44,broken clouds,09-18-2022 08:53:02
291,291,Shimoni,KE,-4.6476,39.3817,79.3,69,99,14.09,overcast clouds,09-18-2022 08:53:05
292,292,Almaznyy,RU,48.0448,40.045,83.98,35,51,17.67,broken clouds,09-18-2022 08:53:05
293,293,Hambantota,LK,6.1241,81.1185,91.74,66,20,14.97,few clouds,09-18-2022 08:53:05
296,296,Cabo San Lucas,MX,22.8909,-109.9124,84.51,69,69,6.31,broken clouds,09-18-2022 08:53:07
297,297,Kochi,IN,9.9399,76.2602,89.02,71,100,11.01,overcast clouds,09-18-2022 08:51:50
298,298,Mersing,MY,2.4312,103.8405,84.11,74,40,9.22,scattered clouds,09-18-2022 08:53:08
300,300,Bambanglipuro,ID,-7.95,110.2833,80.74,71,79,11.61,broken clouds,09-18-2022 08:53:09
301,301,Asyut,EG,27.181,31.1837,82.58,19,0,9.89,clear sky,09-18-2022 08:53:09
302,302,Salalah,OM,17.0151,54.0924,85.53,75,90,10.38,overcast clouds,09-18-2022 08:53:09
303,303,Abeche,TD,13.8292,20.8324,82.42,61,20,6.91,few clouds,09-18-2022 08:53:10
306,306,Hirara,JP,24.8,125.2833,82.67,78,20,13.8,few clouds,09-18-2022 08:53:11
307,307,Biak,ID,-0.9131,122.8766,80.78,74,20,4.56,few clouds,09-18-2022 08:53:12
309,309,Manicore,BR,-5.8092,-61.3003,76.95,94,0,1.14,clear sky,09-18-2022 08:53:12
310,310,Sabha,LY,27.0377,14.4283,93.16,10,0,2.59,clear sky,09-18-2022 08:53:13
311,311,Marsa Matruh,EG,31.3525,27.2453,80.8,57,40,5.75,scattered clouds,09-18-2022 08:53:13
312,312,Axim,GH,4.8699,-2.2405,79.12,76,32,9.17,scattered clouds,09-18-2022 08:53:14
313,313,Kahului,US,20.8947,-156.47,80.62,76,0,10.36,clear sky,09-18-2022 08:53:14
314,314,Ciudad Bolivar,VE,8.1222,-63.5497,75.09,91,100,1.97,overcast clouds,09-18-2022 08:53:15
322,322,Kantemirovka,RU,49.7089,39.8592,81.45,43,92,21.27,overcast clouds,09-18-2022 08:53:18
323,323,Paracuru,BR,-3.41,-39.0306,78.12,83,48,10.78,scattered clouds,09-18-2022 08:53:18
324,324,Sao Filipe,CV,14.8961,-24.4956,77.27,77,93,7.07,overcast clouds,09-18-2022 08:53:19
325,325,Tubuala,PA,9.5167,-79.0333,77.59,88,100,10.27,overcast clouds,09-18-2022 08:53:19
327,327,Porto Novo,BJ,6.4965,2.6036,76.82,74,93,9.19,light rain,09-18-2022 08:50:08
333,333,Cape Coast,GH,5.1053,-1.2466,77.92,82,54,10.04,broken clouds,09-18-2022 08:53:22
334,334,Maiduguri,NG,11.8464,13.1603,79.77,71,97,5.66,light rain,09-18-2022 08:53:23
335,335,Tuy Hoa,VN,13.0833,109.3,86.09,71,65,3.47,light rain,09-18-2022 08:49:55
336,336,Cocorit,MX,27.5833,-109.9667,79.84,61,1,4.81,clear sky,09-18-2022 08:53:23
337,337,Kavaratti,IN,10.5669,72.642,81.5,77,94,12.84,overcast clouds,09-18-2022 08:53:24
339,339,Bathsheba,BB,13.2167,-59.5167,75.81,94,75,10.36,light intensity shower rain,09-18-2022 08:53:25
343,343,Jalu,LY,29.0331,21.5482,91.81,15,0,3.44,clear sky,09-18-2022 08:53:26
344,344,Kavieng,PG,-2.5744,150.7967,82.69,71,16,6.98,few clouds,09-18-2022 08:53:27
354,354,Soure,BR,-0.7167,-48.5233,78.51,79,15,7.78,few clouds,09-18-2022 08:53:31
356,356,Barentu,ER,15.1139,37.5928,81.99,50,77,0.92,broken clouds,09-18-2022 08:53:31
361,361,Vangaindrano,MG,-23.35,47.6,75.45,66,40,9.44,scattered clouds,09-18-2022 08:53:33
362,362,Bousse,BF,12.6606,-1.8922,80.29,74,45,12.26,scattered clouds,09-18-2022 08:53:34
363,363,Thinadhoo,MV,0.5333,72.9333,82.74,67,31,7.31,scattered clouds,09-18-2022 08:53:34
366,366,Del Rio,US,29.3627,-100.8968,77.4,73,0,11.5,clear sky,09-18-2022 08:53:35
368,368,Fukue,JP,32.6881,128.8419,75.56,94,75,36.82,mist,09-18-2022 08:53:36
369,369,Balabac,PH,7.9868,117.0645,84.76,69,91,6.82,overcast clouds,09-18-2022 08:53:37
371,371,Gwadar,PK,25.1216,62.3254,83.16,71,68,9.55,broken clouds,09-18-2022 08:53:37
372,372,Bonthe,SL,7.5264,-12.505,75.52,91,100,11.68,moderate rain,09-18-2022 08:53:38
375,375,Manono,CD,-7.3,27.4167,93.22,36,96,3.83,overcast clouds,09-18-2022 08:53:39
377,377,San Miguelito,PA,9.0333,-79.5,78.24,87,75,4.61,broken clouds,09-18-2022 08:53:40
378,378,Kalmunai,LK,7.4167,81.8167,86.72,61,97,11.05,overcast clouds,09-18-2022 08:53:40
379,379,Mpongwe,ZM,-13.5091,28.155,87.19,21,32,5.19,scattered clouds,09-18-2022 08:53:41
380,380,Kaka,TM,37.3482,59.6143,87.94,17,0,5.93,clear sky,09-18-2022 08:53:41
381,381,Takoradi,GH,4.8845,-1.7554,78.91,78,58,9.69,broken clouds,09-18-2022 08:53:41
382,382,Yumen,CN,40.2833,97.2,76.08,19,100,10.51,overcast clouds,09-18-2022 08:53:42
384,384,Martapura,ID,-3.4167,114.85,89.69,62,40,3.44,scattered clouds,09-18-2022 08:53:43
386,386,Anloga,GH,5.7947,0.8973,78.93,79,65,13.44,broken clouds,09-18-2022 08:53:43
387,387,Blackwater,AU,-23.5833,148.8833,75.24,28,0,2.08,clear sky,09-18-2022 08:53:44
391,391,Cockburn Town,TC,21.4612,-71.1419,82.89,76,5,20.09,clear sky,09-18-2022 08:53:46
396,396,Simpang,ID,-1.2667,104.0833,77.18,91,99,3.33,moderate rain,09-18-2022 08:53:47
397,397,Ondangwa,,-17.9167,15.95,83.68,22,0,9.8,clear sky,09-18-2022 08:53:48
398,398,Bac Lieu,VN,9.285,105.7244,84.76,71,100,5.5,light rain,09-18-2022 08:53:48
399,399,Betioky,MG,-23.7167,44.3833,92.55,20,0,1.92,clear sky,09-18-2022 08:53:49
404,404,Rafraf,TN,37.1904,10.1837,77.32,53,0,9.44,clear sky,09-18-2022 08:53:51
405,405,Changji,CN,44.0167,87.3167,75.99,16,0,8.95,clear sky,09-18-2022 08:53:51
406,406,Solok,ID,-0.7918,100.6593,77.95,94,100,3.62,moderate rain,09-18-2022 08:53:52
407,407,Quang Ngai,VN,15.1167,108.8,85.73,71,82,5.26,broken clouds,09-18-2022 08:53:52
414,414,Indramayu,ID,-6.3264,108.32,85.48,61,87,15.46,overcast clouds,09-18-2022 08:53:54
416,416,Salme,NP,28.0369,85.0942,75.49,73,96,3.6,overcast clouds,09-18-2022 08:53:55
417,417,Jiaojiang,CN,28.6803,121.4428,77.47,77,96,7.0,overcast clouds,09-18-2022 08:53:55
418,418,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,78.73,69,0,0.0,clear sky,09-18-2022 08:53:56
419,419,Ofaqim,IL,31.3141,34.6203,85.71,49,0,10.2,clear sky,09-18-2022 08:53:56
420,420,Manjeshwar,IN,12.7194,74.8861,85.15,71,99,7.4,overcast clouds,09-18-2022 08:53:57
423,423,Placido De Castro,BR,-10.3353,-67.1856,76.96,61,60,2.35,broken clouds,09-18-2022 08:53:58
424,424,Tirumala,IN,13.6833,79.35,84.38,41,98,10.94,overcast clouds,09-18-2022 08:53:58
426,426,Grand Gaube,MU,-20.0064,57.6608,77.4,66,9,13.0,clear sky,09-18-2022 08:53:59
427,427,Sibolga,ID,1.7427,98.7792,76.42,88,100,3.02,overcast clouds,09-18-2022 08:54:00
428,428,Yorosso,ML,12.3536,-4.7761,77.76,79,24,9.93,few clouds,09-18-2022 08:54:00
429,429,Bubaque,GW,11.2833,-15.8333,80.26,76,100,8.66,overcast clouds,09-18-2022 08:54:00
430,430,Eenhana,,-17.4667,16.3333,87.01,18,0,8.5,clear sky,09-18-2022 08:54:01
431,431,Opuwo,,-18.0607,13.84,86.47,16,0,9.55,clear sky,09-18-2022 08:54:01
440,440,Koungou,YT,-12.7336,45.2042,82.11,65,0,5.75,clear sky,09-18-2022 08:54:05
447,447,Shiyan,CN,32.6475,110.7781,80.11,57,85,3.27,overcast clouds,09-18-2022 08:54:08
450,450,Gobabis,,-22.45,18.9667,79.75,21,0,6.31,clear sky,09-18-2022 08:54:09
452,452,Ishigaki,JP,24.3448,124.1572,82.53,74,20,9.22,few clouds,09-18-2022 08:54:10
454,454,Kokstad,ZA,-30.5472,29.4241,79.32,25,33,2.89,scattered clouds,09-18-2022 08:54:11
459,459,Kathu,TH,7.9178,98.3332,88.7,87,99,16.2,overcast clouds,09-18-2022 08:54:13
463,463,Bosaso,SO,11.2842,49.1816,91.38,75,0,9.22,clear sky,09-18-2022 08:54:15
466,466,Madang,PG,-5.2246,145.7966,80.1,82,85,6.55,overcast clouds,09-18-2022 08:54:17
467,467,Port Blair,IN,11.6667,92.75,86.04,74,75,12.66,mist,09-18-2022 08:54:17
471,471,Bangui,CF,4.3612,18.555,75.38,88,40,2.3,scattered clouds,09-18-2022 08:54:19
472,472,Lahaina,US,20.8783,-156.6825,79.81,86,22,6.24,few clouds,09-18-2022 08:54:19
473,473,Dingle,PH,10.9995,122.6711,82.24,81,95,9.55,overcast clouds,09-18-2022 08:54:19
474,474,Ayni,TJ,39.3941,68.5377,76.17,23,61,5.17,broken clouds,09-18-2022 08:54:20
476,476,Tulagi,SB,-9.0996,160.1476,80.82,81,100,21.43,overcast clouds,09-18-2022 08:54:21
477,477,Itarema,BR,-2.9248,-39.9167,77.13,80,61,12.35,broken clouds,09-18-2022 08:54:21
478,478,Kanniyakumari,IN,8.0833,77.5667,84.52,72,85,23.51,overcast clouds,09-18-2022 08:54:22
481,481,Saint-Pierre,RE,-21.3393,55.4781,78.48,61,75,23.02,broken clouds,09-18-2022 08:54:23
483,483,Kiboga,UG,0.9161,31.7742,77.07,65,44,1.9,light rain,09-18-2022 08:54:23
486,486,Champerico,GT,14.3,-91.9167,76.48,87,100,8.84,overcast clouds,09-18-2022 08:54:24
489,489,Tay Ninh,VN,11.3,106.1,84.45,73,97,6.2,overcast clouds,09-18-2022 08:54:26
490,490,Mumford,GH,5.2618,-0.759,77.59,82,29,10.69,light rain,09-18-2022 08:54:26
491,491,Katobu,ID,-4.9408,122.5276,82.11,72,100,0.67,overcast clouds,09-18-2022 08:54:26
492,492,Rutul,RU,41.5357,47.4239,78.96,32,2,2.46,clear sky,09-18-2022 08:54:27
495,495,Ambon,ID,-3.6954,128.1814,82.54,78,40,5.75,scattered clouds,09-18-2022 08:54:28
498,498,Port Hedland,AU,-20.3167,118.5667,87.85,27,10,12.66,clear sky,09-18-2022 08:54:29
500,500,Awjilah,LY,29.1081,21.2869,91.72,15,0,3.51,clear sky,09-18-2022 08:54:29
503,503,Nautanwa,IN,27.4333,83.4167,88.43,66,52,3.06,broken clouds,09-18-2022 08:54:31
504,504,San Antero,CO,9.3741,-75.7589,75.9,90,100,6.76,overcast clouds,09-18-2022 08:54:31
511,511,George Town,MY,5.4112,100.3354,86.9,77,40,8.05,scattered clouds,09-18-2022 08:52:06
512,512,Komsomolskiy,UZ,40.4272,71.7189,86.72,16,21,4.61,few clouds,09-18-2022 08:54:34
513,513,Kijang,KR,35.2442,129.2139,83.93,81,100,25.48,moderate rain,09-18-2022 08:54:34
515,515,Mut,TR,36.6439,33.4389,92.28,23,0,6.06,clear sky,09-18-2022 08:54:35
517,517,Nkhotakota,MW,-12.9274,34.2961,81.03,39,75,7.85,broken clouds,09-18-2022 08:54:36
519,519,Raga,SS,8.4596,25.678,81.19,76,87,2.15,light rain,09-18-2022 08:54:37
521,521,Kalemie,CD,-5.9475,29.1947,83.77,42,79,9.22,broken clouds,09-18-2022 08:54:37
522,522,Douentza,ML,14.9951,-2.9517,86.49,55,9,6.8,clear sky,09-18-2022 08:54:19
523,523,Mahebourg,MU,-20.4081,57.7,77.29,65,40,21.85,scattered clouds,09-18-2022 08:54:38
525,525,Bayir,TR,37.2687,28.2167,75.72,20,0,7.87,clear sky,09-18-2022 08:54:39
526,526,Kiunga,PG,-6.1219,141.2906,80.62,76,31,2.82,scattered clouds,09-18-2022 08:54:39
528,528,Antequera,ES,37.0194,-4.5612,75.78,58,38,4.94,scattered clouds,09-18-2022 08:54:40
530,530,Garissa,KE,-0.4536,39.6401,84.96,44,84,20.4,broken clouds,09-18-2022 08:54:19
533,533,Kismayo,SO,-0.3582,42.5454,81.93,68,20,17.2,few clouds,09-18-2022 08:54:41
537,537,Gboko,NG,7.3179,8.9951,78.51,80,93,8.05,light rain,09-18-2022 08:54:43
539,539,Gamba,GA,-2.65,10.0,78.58,72,96,6.51,overcast clouds,09-18-2022 08:54:44
544,544,Hami,CN,42.8,93.45,81.82,9,100,6.29,overcast clouds,09-18-2022 08:54:46
545,545,Sarkand,KZ,45.41,79.9186,76.19,17,7,8.08,clear sky,09-18-2022 08:54:47
546,546,Kushima,JP,31.4583,131.2333,81.23,96,100,43.8,heavy intensity rain,09-18-2022 08:54:47
547,547,Zhuhai,CN,22.2769,113.5678,92.98,70,20,16.11,few clouds,09-18-2022 08:54:48
552,552,Amalapuram,IN,16.5833,82.0167,92.17,55,100,8.48,overcast clouds,09-18-2022 08:54:50
553,553,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,89,95,3.83,overcast clouds,09-18-2022 08:54:50
554,554,Seoul,KR,37.5683,126.9778,89.17,56,0,12.66,clear sky,09-18-2022 08:53:29
555,555,Hiroshima,JP,34.3963,132.4594,82.18,84,100,26.57,light rain,09-18-2022 08:53:19
556,556,Grand-Lahou,CI,5.1367,-5.0242,78.55,78,88,6.4,light rain,09-18-2022 08:54:51
563,563,Kidal,ML,18.4411,1.4078,87.48,46,49,10.89,scattered clouds,09-18-2022 08:54:54
566,566,Eyl,SO,7.9803,49.8164,93.42,40,0,19.13,clear sky,09-18-2022 08:54:55
568,568,Izmit,TR,40.7669,29.9169,86.41,31,42,15.84,scattered clouds,09-18-2022 08:53:19
569,569,Xintai,CN,35.9006,117.7519,76.48,67,0,12.86,clear sky,09-18-2022 08:54:56
574,574,Celestun,MX,20.8667,-90.4,77.36,86,14,8.59,few clouds,09-18-2022 08:54:58
575,575,Laureles,US,26.1092,-97.4941,78.12,70,72,1.01,broken clouds,09-18-2022 08:54:58
576,576,Keningau,MY,5.3378,116.1602,76.21,95,97,2.26,light rain,09-18-2022 08:54:58
578,578,Nabire,ID,-3.3667,135.4833,79.0,82,59,1.54,broken clouds,09-18-2022 08:54:59
579,579,Luganville,VU,-15.5333,167.1667,78.93,84,71,13.91,broken clouds,09-18-2022 08:55:00
581,581,Kuala Terengganu,MY,5.3302,103.1408,84.15,84,20,3.44,thunderstorm,09-18-2022 08:55:00
582,582,Galle,LK,6.0367,80.217,82.65,71,100,12.8,overcast clouds,09-18-2022 08:53:38
583,583,Kutahya,TR,39.4242,29.9833,87.17,16,0,16.04,clear sky,09-18-2022 08:55:01
584,584,Petauke,ZM,-14.2426,31.3253,85.68,21,21,7.38,few clouds,09-18-2022 08:55:01
589,589,Nishihara,JP,26.1842,127.7558,81.68,83,75,28.77,broken clouds,09-18-2022 08:55:04
590,590,Kroya,ID,-7.6331,109.2461,80.58,75,96,10.74,overcast clouds,09-18-2022 08:55:04
592,592,Namatanai,PG,-3.6667,152.4333,80.22,82,65,8.66,light rain,09-18-2022 08:55:05
597,597,Robat Karim,IR,35.4846,51.0829,89.08,12,0,6.91,clear sky,09-18-2022 08:55:08
600,600,Shingu,JP,33.7333,135.9833,80.1,93,100,16.73,overcast clouds,09-18-2022 08:55:09
606,606,Moussoro,TD,13.6408,16.4901,81.23,64,100,7.67,overcast clouds,09-18-2022 08:55:12
608,608,Abha,SA,18.2164,42.5053,84.02,18,20,4.61,few clouds,09-18-2022 08:55:11
614,614,Araouane,ML,18.9048,-3.5265,94.48,26,89,9.98,overcast clouds,09-18-2022 08:55:15
617,617,Kieta,PG,-6.2167,155.6333,80.67,85,85,7.94,light rain,09-18-2022 08:55:17
618,618,Dharan,NP,26.8125,87.2835,87.19,66,70,3.47,broken clouds,09-18-2022 08:55:17
619,619,Cap-Haitien,HT,19.7578,-72.2042,79.61,82,29,10.02,scattered clouds,09-18-2022 08:55:17
620,620,Aljezur,PT,37.3191,-8.8033,76.08,64,26,13.06,scattered clouds,09-18-2022 08:55:18
622,622,Pemangkat,ID,1.1667,108.9667,82.72,73,99,4.88,heavy intensity rain,09-18-2022 08:55:18
626,626,Kansanshi,ZM,-12.0951,26.4273,83.17,25,99,7.9,overcast clouds,09-18-2022 08:55:21
630,630,Fortuna Foothills,US,32.6578,-114.4119,80.22,41,0,12.66,clear sky,09-18-2022 08:55:22
631,631,Buala,SB,-8.145,159.5921,78.06,89,100,9.95,moderate rain,09-18-2022 08:55:23
632,632,Waingapu,ID,-9.6567,120.2641,84.25,62,89,6.13,overcast clouds,09-18-2022 08:55:23
633,633,Waddan,LY,29.1614,16.139,92.82,12,0,3.04,clear sky,09-18-2022 08:55:23
634,634,Simao,CN,22.7886,100.9748,80.24,58,97,1.74,overcast clouds,09-18-2022 08:55:24
635,635,Palaikastron,GR,35.2,26.25,80.92,59,0,1.36,clear sky,09-18-2022 08:55:24
636,636,Jacqueville,CI,5.2052,-4.4146,77.04,83,81,6.82,light rain,09-18-2022 08:55:24
638,638,Basdiot,PH,9.9472,123.3752,85.55,72,90,7.96,overcast clouds,09-18-2022 08:55:25
639,639,Soe,ID,-9.8607,124.284,78.24,42,67,8.08,broken clouds,09-18-2022 08:55:26
648,648,Richards Bay,ZA,-28.783,32.0377,80.46,57,3,2.57,clear sky,09-18-2022 08:55:29
652,652,Chimoio,MZ,-19.1164,33.4833,78.66,50,0,6.53,clear sky,09-18-2022 08:55:31
655,655,Izumo,JP,35.3667,132.7667,82.29,83,75,23.02,light intensity shower rain,09-18-2022 08:55:32
