City_ID,City,Country,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,Date
67,Jurm,AF,61.43,36.8648,70.8342,33,3,2.98,2022-09-18 01:57:53
68,Musoma,TZ,71.62,-1.5,33.8,78,20,0.0,2022-09-18 01:57:54
69,Yulara,AU,75.4,-25.2406,130.9889,19,0,10.33,2022-09-18 01:57:54
70,Mataura,NZ,60.37,-46.1927,168.8643,43,97,5.61,2022-09-18 01:57:54
71,Pisco,PE,61.02,-13.7,-76.2167,82,0,14.97,2022-09-18 01:57:55
72,Hit,IQ,83.73,33.6416,42.8251,25,0,12.17,2022-09-18 01:57:55
73,Rio Gallegos,AR,37.45,-51.6226,-69.2181,65,0,10.36,2022-09-18 01:57:55
74,Chuy,UY,57.67,-33.6971,-53.4616,82,100,13.89,2022-09-18 01:57:56
75,Yellowknife,CA,52.32,62.456,-114.3525,71,20,3.44,2022-09-18 01:57:56
76,Sao Filipe,CV,78.08,14.8961,-24.4956,80,50,9.06,2022-09-18 01:57:57
77,Morros,BR,84.34,-9.4467,-46.3003,23,95,4.29,2022-09-18 01:57:57
78,Basco,PH,83.73,20.4487,121.9702,74,100,18.41,2022-09-18 01:57:58
79,Leh,IN,49.91,34.1667,77.5833,47,2,4.65,2022-09-18 01:57:58
80,Te Anau,NZ,54.21,-45.4167,167.7167,72,100,3.15,2022-09-18 01:57:58
81,Chokurdakh,RU,40.48,70.6333,147.9167,53,98,6.44,2022-09-18 01:57:59
82,Iquitos,PE,75.24,-3.7481,-73.2472,88,20,0.0,2022-09-18 01:54:41
83,Iqaluit,CA,44.33,63.7506,-68.5145,81,75,13.8,2022-09-18 01:57:59
84,Viedma,AR,48.51,-40.8135,-62.9967,82,100,20.42,2022-09-18 01:58:00
85,Svetlyy,RU,48.25,54.675,20.1347,89,52,7.83,2022-09-18 01:58:00
86,Bambous Virieux,MU,70.21,-20.3428,57.7575,78,40,11.5,2022-09-18 01:58:00
87,Ribeira Grande,PT,73.63,38.5167,-28.7,91,92,5.39,2022-09-18 01:58:01
88,Sovetskiy,RU,49.89,61.3614,63.5842,75,100,13.51,2022-09-18 01:58:01
89,Half Moon Bay,US,66.81,37.4636,-122.4286,80,100,17.27,2022-09-18 01:58:02
90,Quatre Cocos,MU,70.09,-20.2078,57.7625,76,12,14.81,2022-09-18 01:58:02
